Decimal day (2022)             r / R_J       theta / radians         phi / radians               B_r / nT              B_t / nT              B_p / nT    Error / nT    Range 
    272.679533472   1.9878901447338522    0.6295835596770928    5.7754237662479753     66421.444919139147    38127.875286727205     4632.808237445217        10.233        4 
    272.679880694   1.9757797762704006    0.6233337038645740    5.7678060999110370     68097.224434088246    38643.972760969722     4901.101968460320        10.405        4 
    272.680227917   1.9636718041916217    0.6170096726158271    5.7601177210871377     69818.868320948386    39168.414597179697     5163.395538849360        10.582        4 
    272.680575313   1.9515605054135299    0.6106068942493129    5.7523511269279650     71590.599175003794    39694.679953753694     5454.345735824900        10.764        4 
    272.680922720   1.9394527266325661    0.6041274032941016    5.7445066425850779     73417.803139025636    40223.495749804606     5780.715075233249        10.951        4 
    272.681270116   1.9273490811659291    0.5975699482937749    5.7365803682188012     75291.158225656458    40749.580859912443     6134.526400270785        11.143        4 
    272.681617338   1.9152564671294194    0.5909367259675639    5.7285723436191640     77230.035211824288    41284.607325403667     6479.772390648192        11.341        4 
    272.681964745   1.9031629097962608    0.5842195435896107    5.7204697364035493     79230.066464442047    41821.975479327368     6813.312457419961        11.545        4 
    272.682311968   1.8910816871566634    0.5774240945868208    5.7122762346298108     81282.254445808503    42365.021098324345     7178.656674328111        11.754        4 
    272.682659363   1.8790008725862006    0.5705419954379672    5.7039781933928069     83394.358215808272    42905.375291306525     7589.369289637609        11.969        4 
    272.683006586   1.8669337631832890    0.5635790776387244    5.6955787383441825     85575.820041378727    43445.814825320325     8031.149223314136        12.191        4 
    272.683353808   1.8548747869329341    0.5565304631504194    5.6870676895380061     87820.524825030123    43983.758047592455     8464.163270667326        12.418        4 
    272.683701030   1.8428247073196184    0.5493948032151623    5.6784387162070189     90124.948586392886    44545.723887026703     8883.311933951001        17.342        5 
    272.684048252   1.8307843131074997    0.5421707575224516    5.6696849814576247     92502.781309474754    45081.659764622891     9344.418245673660        17.582        5 
    272.684395475   1.8187544104375533    0.5348569892517062    5.6607991185934523     94941.721493334422    45631.801014254015     9874.427616962108        17.829        5 
    272.684742697   1.8067358424524589    0.5274521394069370    5.6517731515719678     97462.494149219972    46154.407293066375    10434.342971133039        18.083        5 
    272.685089919   1.7947294836580254    0.5199548681727294    5.6425984788008909    100055.789219853876    46679.821757232581    10976.972999697609        18.344        5 
    272.685437141   1.7827362393205004    0.5123638421983169    5.6332657681527127    102731.740354354624    47218.567107162075    11504.748960340461        18.614        5 
    272.685784549   1.7707507967494422    0.5046737177995481    5.6237598913535098    105495.096885940511    47754.603352765938    12078.706824269466        18.892        5 
    272.686131771   1.7587866330824113    0.4968911891731930    5.6140797523380730    108317.400933932426    48268.863791813594    12725.826961845101        19.176        5 
    272.686479167   1.7468322708297448    0.4890068786293441    5.6042032505849946    111221.132900237251    48783.621371964568    13426.170633859969        19.468        5 
    272.686826574   1.7348950019734404    0.4810235411923797    5.5941222903417280    114230.301136607028    49292.828837855675    14116.590273201255        19.770        5 
    272.687173796   1.7229820886992604    0.4729442129725046    5.5838280082705287    117300.480002820652    49779.844076462548    14805.683837768825        20.078        5 
    272.687521019   1.7110884431578308    0.4647635936748406    5.5732995485478778    120474.951479951502    50249.192655993909    15554.639143919529        20.395        5 
    272.687868241   1.6992152224679289    0.4564805906827591    5.5625197809976763    123726.006109835522    50713.334638066626    16358.164622780692        20.720        5 
